515 3
590059.943367 2325158.211910 -0.704968
590597.534671 2325748.511570 8.337567
590932.762279 2326142.934540 12.288680
590181.547667 2325576.289340 -1.579378
589430.333097 2325009.644170 12.448576
590547.759116 2326427.684310 10.743783
592253.202997 2331536.632570 13.368722
592463.602402 2331810.006340 13.795444
592675.061532 2332099.560240 13.884603
591930.340463 2331393.556410 13.262531
592044.717829 2331079.436290 3.376553
592044.138413 2330729.685650 -1.650866
592101.037399 2330397.750280 13.487423
589709.689588 2325364.154190 3.369116
589881.809018 2325926.545310 -2.154959
590268.402603 2326073.174250 11.434422
589215.858934 2325425.406320 12.726072
590153.105684 2326696.105480 12.170672
591620.255394 2331215.567250 13.537826
591780.516050 2330942.961590 8.926753
591793.876632 2330629.215650 -3.375463
591754.784867 2330271.107150 13.131655
589528.274510 2325848.972690 2.371705
589840.690095 2326272.539080 -2.172470
589009.609197 2325845.389950 11.263939
589681.423109 2326629.131340 -1.042865
590033.643871 2327155.669420 11.686237
590059.175816 2327635.769140 12.020181
591486.715896 2330860.681040 13.779099
591104.479336 2329964.434230 13.147069
591302.127939 2330397.372230 -3.692761
591426.458564 2330118.352330 13.057747
589252.110127 2326411.666940 7.607473
588801.612377 2326269.447690 12.266167
589522.156124 2326985.723620 -1.600071
589669.177020 2327388.284880 0.923209
590033.797053 2328126.747300 12.168101
589598.762821 2327975.042530 -3.615133
591177.797345 2330676.392160 13.811104
590771.095298 2329837.627420 11.288822
590974.709029 2330245.391180 10.879091
589010.668416 2326815.777850 1.185433
588499.180699 2326645.832090 12.478212
589120.579227 2327324.258060 -2.506379
589163.728583 2327823.337750 1.292748
590008.679796 2328619.607180 10.329761
589650.911230 2328454.538550 3.844343
589301.196742 2328293.185970 2.998716
590841.399321 2330534.011200 13.809097
590461.749097 2329673.226350 13.847246
590631.660895 2330119.094770 6.341310
590156.127146 2329503.752720 13.635913
588651.280940 2327168.502540 2.523750
588181.982649 2327012.747010 13.041113
